Date,days,SPY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
20180925,91,0.111318,0.142851,0.19486,0.160494,0.155696,0.137567,0.155567,0.112061,0.124825,0.132667,0.118374,0.135409
20180926,91,0.112746,0.143207,0.193407,0.163793,0.160038,0.136804,0.155274,0.115176,0.124186,0.133272,0.119909,0.135485
20180927,91,0.112902,0.144892,0.186405,0.161368,0.157394,0.1362,0.153479,0.11232,0.122762,0.130563,0.120611,0.135362
20180928,91,0.108696,0.143823,0.17766,0.163281,0.159446,0.134241,0.150243,0.111578,0.121093,0.128325,0.116769,0.132577
20181001,91,0.10965,0.143362,0.178442,0.163908,0.15857,0.133872,0.149431,0.114095,0.124113,0.133025,0.120398,0.139341
20181002,91,0.111068,0.145911,0.184975,0.166164,0.159698,0.13293,0.156184,0.113879,0.123788,0.133097,0.123637,0.135091
20181003,91,0.110637,0.145336,0.184367,0.165566,0.159172,0.132424,0.152274,0.113453,0.132369,0.133332,0.121534,0.134713
20181004,91,0.118537,0.151033,0.197343,0.169233,0.166308,0.13841,0.160979,0.120483,0.137141,0.141462,0.131573,0.146052
20181005,91,0.12481,0.156108,0.210491,0.166663,0.169957,0.145596,0.172078,0.12274,0.13425,0.142757,0.134728,0.155837
20181008,91,0.127928,0.157849,0.213543,0.17446,0.168919,0.145459,0.181328,0.122803,0.14086,0.14173,0.136492,0.159
20181009,91,0.129486,0.165629,0.210949,0.177035,0.17021,0.152119,0.173978,0.123886,0.133259,0.14107,0.139164,0.162691
20181010,91,0.159731,0.193589,0.25746,0.186301,0.197116,0.179126,0.218551,0.132141,0.154882,0.147231,0.15903,0.187895
20181011,91,0.183491,0.210316,0.259422,0.217261,0.219896,0.202089,0.231304,0.149942,0.174377,0.1553,0.17902,0.206454
20181012,91,0.165629,0.200325,0.236253,0.206481,0.209572,0.189614,0.206418,0.148246,0.169298,0.158961,0.170286,0.196491
20181015,91,0.168109,0.196691,0.258793,0.205298,0.203172,0.188592,0.214178,0.146476,0.157018,0.154913,0.168322,0.19351
20181016,91,0.142493,0.179866,0.226655,0.187004,0.175011,0.166769,0.193191,0.130585,0.141523,0.145637,0.151392,0.165686
20181017,91,0.141489,0.172977,0.229538,0.184288,0.173772,0.168122,0.192847,0.132349,0.140901,0.145998,0.148356,0.17375
20181018,91,0.154493,0.189177,0.243119,0.194863,0.185246,0.176868,0.209512,0.134234,0.141831,0.146136,0.156655,0.182682
20181019,91,0.159678,0.197379,0.244401,0.198313,0.185239,0.181719,0.211428,0.1353,0.149079,0.142643,0.15845,0.187373
20181022,91,0.162962,0.194266,0.243442,0.202383,0.200142,0.186163,0.212323,0.139218,0.154729,0.147256,0.16125,0.192683
20181023,91,0.162577,0.201304,0.240617,0.213052,0.199745,0.190179,0.20465,0.137734,0.154526,0.146417,0.162968,0.190228
20181024,91,0.186324,0.226153,0.285956,0.241482,0.216708,0.219097,0.24237,0.157065,0.166683,0.155114,0.192221,0.225546
20181025,91,0.179975,0.216841,0.25842,0.22674,0.214325,0.207743,0.222459,0.148624,0.152344,0.155449,0.182931,0.205092
20181026,91,0.183901,0.230613,0.279541,0.239271,0.225343,0.217192,0.230414,0.156482,0.17229,0.160118,0.185177,0.219836
20181029,91,0.187365,0.228639,0.282944,0.247174,0.226142,0.219905,0.242736,0.152295,0.158713,0.162021,0.19062,0.221733
20181030,91,0.188602,0.219346,0.281181,0.246586,0.218663,0.214028,0.237095,0.150409,0.156954,0.157887,0.190421,0.221704
20181031,91,0.181599,0.211578,0.266531,0.2308,0.212497,0.208249,0.227618,0.152067,0.167819,0.158123,0.182162,0.212444
